OBJECTID_1,NVRID,NAMN,SKYDDSTYP,BESLSTATUS,URSBESLDAT,IKRAFTDATF,URSGALLDAT,SENGALLDAT,TILLSYNSMH,PROVNMHDIS,PROVNMHTIL,LAN,KOMMUN,IUCNKAT,FORVALTARE,AREA_HA,LAND_HA,VATTEN_HA,SKOG_HA,GEOSTATUS,DIARIENR,LAGRUM,BESLMYND,Shape_Leng,Shape_Le_1,OBJECTID,Shape_Le_2,MERGE_SRC,Shape_Length,Shape_Area
1,2041595,Långvind,Naturreservat,Gällande,2020-12-15 0:00:00,,2022-06-02 0:00:00,2022-06-02 0:00:00, , , ,Gävleborgs Län,Hudiksvall,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Gävleborgs län,1264.63,306.76,957.64,231.1,Slutligt inmätt,1348-2012,Miljöbalken,Länsstyrelse,0,0, ,28983.76807,MPAs_Sverige_Okt_2023,28983.76807,12646282.03
2,2003039,Kungsbackafjorden,Naturreservat,Gällande,2003-12-15 0:00:00,,2005-04-14 0:00:00,2005-04-14 0:00:00, , , ,Hallands Län,Kungsbacka,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Hallands län,5238.29,500.96,4737.262,20.027,Ospecificerad,511-0027-02,Miljöbalken,Länsstyrelse,59881.95042,0, ,59881.95042,MPAs_Sverige_Okt_2023,59881.95042,52382856.68
3,2001812,Falsterbohalvöns havsområde,Naturreservat,Gällande,1992-09-08 0:00:00,,1993-04-02 0:00:00,2011-04-09 0:00:00, , , ,Skåne Län,Vellinge,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Skåne län,41398.72,151.03,41247.568,0,Justerad mot fastighetskarta,"511-6695-10, 1233-212, 1233-216",Miljöbalken,Länsstyrelse,116958.5442,0, ,116958.5442,MPAs_Sverige_Okt_2023,116958.5442,413987158.9
4,2042687,Jonstorp-Vegeåns mynning,Naturreservat,Gällande,2014-08-21 0:00:00,,2015-06-25 0:00:00,2015-06-25 0:00:00, , , ,Skåne Län,"Helsingborg, Höganäs","Ib, Vildmarksområde (Wilderness Area)",Länsstyrelsen i Skåne län,1506.3,225.36,1280.91,17.416,Slutligt inmätt, ,Miljöbalken,Länsstyrelse,26505.16157,0, ,26505.16157,MPAs_Sverige_Okt_2023,26505.16157,15062954.19
5,2000054,Tjärö,Naturreservat,Gällande,1976-04-05 0:00:00,,1976-04-05 0:00:00,2013-04-27 0:00:00, , , ,Blekinge Län,Karlshamn,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Blekinge län,306.26,84.14,222.117,20.04,Ospecificerad,511-4148-2012,Miljöbalken,Länsstyrelse,7745.094504,0, ,7745.094504,MPAs_Sverige_Okt_2023,7745.094504,3062644.304
6,2043766,Långören,Naturreservat,Gällande,2015-06-02 0:00:00,,2015-06-25 0:00:00,2015-06-25 0:00:00, , , ,Västernorrlands Län,Sundsvall,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Västernorrlands län,446.39,53.63,392.754,26.65,Slutligt inmätt,511-2968-15,Miljöbalken,Länsstyrelse,11616.35537,0, ,11616.35537,MPAs_Sverige_Okt_2023,11616.35537,4463911.837
7,2023650,Kopparholmarna,Naturreservat,Gällande,2012-02-15 0:00:00,,2012-03-19 0:00:00,2012-03-19 0:00:00, , , ,Östergötlands Län,Norrköping,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Norrköpings kommun,329.13,27.17,301.953,0,Ospecificerad,"511-19985-08, 0581",Miljöbalken,Länsstyrelse,7856.336219,0, ,7856.336219,MPAs_Sverige_Okt_2023,7856.336219,3291304.674
8,2049264,Strandhusens revlar,Naturreservat,Gällande,2018-12-13 0:00:00,,2019-01-13 0:00:00,2019-01-13 0:00:00, , , ,Skåne Län,Lomma,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Lomma kommun,345.27,0.06,345.196,0,Ospecificerad,511-12287-2018,Miljöbalken,Kommun,9335.97134,0, ,9335.97134,MPAs_Sverige_Okt_2023,9335.97134,3452674.985
9,2047936,Tavasten - Skeppsviksskärgården,Naturreservat,Gällande,2018-11-19 0:00:00,,2019-11-21 0:00:00,2019-11-21 0:00:00, , , ,Västerbottens Län,Umeå,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Västerbottens län,1869.69,271.45,1598.206,199.346,Ospecificerad,511-2709-2014,Miljöbalken,Länsstyrelse,33812.0526,0, ,33812.0526,MPAs_Sverige_Okt_2023,33812.0526,18696921.9
10,2002697,Värnanäs skärgård,Naturreservat,Gällande,1997-12-16 0:00:00,,1998-01-06 0:00:00,1998-01-06 0:00:00, , , ,Kalmar Län,Kalmar,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Kalmar län,1551.81,101.56,1450.233,20.609,Ospecificerad,231-3017-96,Naturvårdslagen,Länsstyrelse,22115.17929,0, ,22115.17929,MPAs_Sverige_Okt_2023,22115.17929,15518099.22
