"species","feature","total_amount","absolute_held","relative_held"
"Perch","Source connectivity",2204.87257153706,2027.61035824921,0.919604327444519
"Common bream","Source connectivity",1441.06347801545,1432.67675814226,0.994180187062447
"Common minnow","Source connectivity",917.199482839671,900.285396486209,0.981558988344504
"Pike","Source connectivity",2792.71381678949,2341.74335278803,0.83851891257519
"Ruffe","Source connectivity",5149.20849979776,3183.24536181914,0.618200906400307
"Zander","Source connectivity",925.743800745687,923.37287497589,0.997438896411851
"Ide","Source connectivity",1289.27789770602,1169.49847485496,0.907095729272816
"Common bleak","Source connectivity",1010.50981103486,1007.08366886719,0.996609491436646
"Roach","Source connectivity",1114.02473818661,1061.25106899097,0.952627919841761
"Crucian carp","Source connectivity",392.156303090255,392.024860648061,0.999664821294065
"Common rudd","Source connectivity",339.131714074976,339.06377430969,0.999799665550386
"Two-spotted goby","Source connectivity",3758.15989794148,2790.0201919224,0.742389964155229
"Nine-spined stickleback","Source connectivity",1971.11852387583,1809.12488848459,0.917816390324049
"Sand goby","Source connectivity",8638.78439453527,4863.07956735912,0.562935633679597
"Tench","Source connectivity",1255.31955716842,1248.32529289343,0.994428299762364
"Black goby","Source connectivity",4853.9902124624,3461.50777865366,0.713126237825201
"Perch","Vulnerability",2947.9415795834,2621.24006247233,0.889176393666105
"Common bream","Vulnerability",1384.54039145977,1378.04409559701,0.995307976637712
"Common minnow","Vulnerability",510.504771250904,498.737744337848,0.976950211681228
"Pike","Vulnerability",1789.5106467275,1553.28650065696,0.867995115590665
"Ruffe","Vulnerability",4176.1281691249,2586.57171314968,0.619370768424404
"Zander","Vulnerability",781.802017639107,778.210799789277,0.995406486848583
"Ide","Vulnerability",1433.63958334648,1295.20267007082,0.903436738993694
"Common bleak","Vulnerability",1037.60331632397,1029.078089156,0.991783731765458
"Roach","Vulnerability",1252.52619074373,1138.80841451786,0.909209262795259
"Crucian carp","Vulnerability",566.616271507114,566.47129315213,0.999744133089228
"Common rudd","Vulnerability",283.432119201594,283.410415839827,0.999923426597425
"Two-spotted goby","Vulnerability",3603.19939008098,2778.68571319739,0.771171787175215
"Nine-spined stickleback","Vulnerability",1225.03227597024,1098.0961218695,0.896381379829193
"Sand goby","Vulnerability",8242.2502849211,4902.2043274147,0.594765283503112
"Tench","Vulnerability",2282.71963187131,2264.60744374328,0.99206552225024
"Black goby","Vulnerability",5645.60412962943,4314.80066214417,0.764276163023741
"Perch","Habitat",248420,181010,0.728645036631511
"Common bream","Habitat",104980,100120,0.953705467708135
"Common minnow","Habitat",48035,38530,0.802123451649839
"Pike","Habitat",211845,148090,0.699048832873091
"Ruffe","Habitat",362055,206455,0.570231042244963
"Zander","Habitat",69530,64060,0.921328922767151
"Ide","Habitat",83005,56370,0.679115715920728
"Common bleak","Habitat",118990,108920,0.915371039583158
"Roach","Habitat",161430,127975,0.792758471163972
"Crucian carp","Habitat",40675,40305,0.990903503380455
"Common rudd","Habitat",19740,19695,0.997720364741641
"Two-spotted goby","Habitat",298400,174110,0.58347855227882
"Nine-spined stickleback","Habitat",145935,101850,0.697913454620208
"Sand goby","Habitat",468085,255260,0.545328305756433
"Tench","Habitat",91485,86395,0.944362463791878
"Black goby","Habitat",280450,170175,0.60679265466215
